Brand Name,Price,Rating,Rating Count,Review Count,Ranking,URL
Not Available,0,4.0,0,0,0,Not Available
Not Available,0,0.0,0,0,1,Not Available
eufy,150,4.3,0,0,3,https://www.amazon.com/eufy-Security-Fingerprint-Deadbolt-Waterproof/dp/B0C7C69FPS/ref=sr_1_1?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-1
eufy,80,4.3,2641,2641,4,https://www.amazon.com/eufy-Security-Deadbolt-Installation-Touchscreen/dp/B0BCV3NBKY/ref=sr_1_2?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-2
TEEHO,33,4.5,14992,14992,5,https://www.amazon.com/Keyless-Entry-Door-Lock-Weatherproofing/dp/B09P54CLDQ/ref=sr_1_3?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-3
Not Available,210,4.1,1716,1716,7,https://www.amazon.comhttps://aax-us-iad.amazon.com/x/c/JOrpfoR_yV3_gdVbQmOlwvMAAAGRvDQR0gEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICBes0jS/https://www.amazon.com/Yale-Assure-Keypad-Wi-Fi-Black/dp/B0B9HWYMV5/ref=sxin_13_sbv_search_btf?content-id=amzn1.sym.5cde1a09-4942-4242-87c5-e66d2d3b6a3c%3Aamzn1.sym.5cde1a09-4942-4242-87c5-e66d2d3b6a3c&crid=2A0VLCNI653XM&cv_ct_cx=smart+lock&dib=eyJ2IjoiMSJ9.zIoguwDSZFSwB7uQQ01NSg.8niH6SYNTAcN1E5So_N4BWOOiPi7cwqCkUdXoXdZCXw&dib_tag=se&keywords=smart+lock&pd_rd_i=B0B9HWYMV5&pd_rd_r=bbd01862-af5d-4a76-a137-04c83e5eb979&pd_rd_w=yo28E&pd_rd_wg=RNT1L&pf_rd_p=5cde1a09-4942-4242-87c5-e66d2d3b6a3c&pf_rd_r=PJSRHJWJZ4ZR0BFMJ700&qid=1725439414&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=smart+lock%2Caps%2C2815&sr=1-1-5190daf0-67e3-427c-bea6-c72c1df98776
Yale,210,4.1,0,0,9,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NzY2NzI4ODQzODY5Nzk5OjE3MjU0Mzk0MTQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA5NjUzOTQyNzgwMjo6MDo6&url=%2FYale-Assure-Keypad-Wi-Fi-Black%2Fdp%2FB0B9HWYMV5%2Fref%3Dsxin_14_pa_sp_search_thematic-asin_sspa%3Fcontent-id%3Damzn1.sym.187193c3-d050-4fc7-a2bf-00ca364087e8%253Aamzn1.sym.187193c3-d050-4fc7-a2bf-00ca364087e8%26crid%3D2A0VLCNI653XM%26cv_ct_cx%3Dsmart%2Block%26dib%3DeyJ2IjoiMSJ9.fWFtxR8IYGqRtrQj2FA5cBoACArdY6hnR3ALS75Paz_pPHYrDL1UFYdKXBWV3uqcndQyv-AY-NQEo4al9aA7ZA.pZr666WpIzTxZTeCSBQwE0ompIg6No1477IKc5Gq32k%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26pd_rd_i%3DB0B9HWYMV5%26pd_rd_r%3Dbbd01862-af5d-4a76-a137-04c83e5eb979%26pd_rd_w%3DyRter%26pd_rd_wg%3DRNT1L%26pf_rd_p%3D187193c3-d050-4fc7-a2bf-00ca364087e8%26pf_rd_r%3DPJSRHJWJZ4ZR0BFMJ700%26qid%3D1725439414%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dsmart%2Block%252Caps%252C2815%26sr%3D1-1-baa1f287-65d3-41a3-a655-8bbba0531537-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Not Available,0,0.0,0,0,10,Not Available
Wyze,75,4.5,2459,2459,11,https://www.amazon.com/Fingerprint-Bluetooth-Replacement-Weatherproof-Scheduled/dp/B09R38VVXF/ref=sr_1_4?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-4
August,117,4.0,10799,10799,12,https://www.amazon.com/August-Wi-Fi-Smart-Generation-Matte/dp/B082VXRND2/ref=sr_1_5?crid=2A0VLCNI653XM&dib=eyJ2IjoiMSJ9.lQ7epbLzXzhacgD4tF2U85vdSLYhlmA-gDZk1jqfcAuq1YghtvCAyER-t4Gl74bKE1SW7LaNFqR9oamxbh9XE0uCmEcRV4F-MvZkySqWQjLpAn3wA1Xcf80TgfA_U4QgdekDcBaq1UFWKAyYYoIcmKy3NzI10nHXJlPGrgU9kBUCme3IpixBMWq8RuIxMZtnB5uNQwIuWSQTW3rrFyqHBJ6bh3brMUHLxDtZJqunD2Y.9Dwv0nPggZN13zyYOoJ-AUehOLqQnyNjFXCLECc2GSQ&dib_tag=se&keywords=smart+lock&qid=1725439414&sprefix=smart+lock%2Caps%2C2815&sr=8-5
